code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
descr,Result of N2O+CH4_CAT5_TOTAL_NET_HISTORY_EDGAR42COMPX+CO2_CAT5_TOTAL_NET_HISTORY_EDGAR42COMPX - regarding information just missing in one of the tables as zero; interpolation of NaN values by 'perform_interpolation_on_table'; downscaled using POP_DEMOGR_TOTAL_NET_HISTORY_UN2017P
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
source,EDGAR42COMPI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,v4.2_FT2010_CH4_tot_2000_2010.xls; v4.2_FT2010_CO2_excl_short-cycle_org_C_2000.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2001.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2002.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2003.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2004.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2005.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2006.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2007.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2008.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2009.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2010.csv; v4.2_FT2010_N2O_tot_2000_2010_fixed.xls
unit,MtCO2eq
gwp,AR4
iso3,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
COD,1472.5586,863.6609,918.5072,977.0288,856.0004,1002.4675,887.3709,1017.9402,1073.0906,1408.6533,1177.3377,1032.092,1164.5278,1170.5811,921.2065,931.0452,861.8395,1180.8095,843.4882,939.4251,1308.813,1095.4449,1729.9172,1005.1162,1162.9721,1174.1599,1003.4298,953.9401,1049.005,866.2139,992.7318,926.8885,998.912,875.1412,976.764,902.3261,1273.1424,2134.231,1017.2953,1023.3831,1055.8876
COG,61.714,36.1928,38.4893,40.9402,35.8639,42.0003,37.1745,42.6449,44.9543,59.0138,49.3163,43.2301,48.7772,49.0286,38.5768,38.9849,36.0842,49.4489,35.3106,39.3294,54.8064,45.8626,72.4507,42.078,48.6915,49.1577,42.0033,39.926,39.12,30.9176,47.2652,61.2815,35.3678,38.2236,45.1924,40.7265,27.2157,48.5918,28.6885,27.666,29.3955
COK,0,0.0006,0.0012,0.0018,0.0024,0.003,0.0036,0.0042,0.0048,0.0054,0.006,0.0066,0.0072,0.0078,0.0084,0.009,0.0096,0.0102,0.0108,0.0114,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
COL,53.8492,37.2752,45.5752,37.7338,40.5184,45.9563,53.3988,40.6845,49.4764,52.2825,55.6854,50.2643,53.0703,54.0985,42.0982,44.5897,47.5098,58.4879,48.5972,49.0467,56.7161,53.3901,56.7991,62.482,43.262,47.9989,49.8351,50.3436,35.2755,29.329,44.7333,34.2994,33.2305,29.8267,37.5833,25.7446,32.2823,38.3433,39.8735,37.1745,27.9312
CRI,0,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
CUB,0.40432,0.67213,0.82329,0.97445,1.2492,1.4074,1.4384,1.7167,1.8748,2.4143,2.3461,2.257,3.0438,2.7214,3.0066,3.1683,3.457,3.7458,3.9109,3.8252,3.9694,4.3666,4.029,4.2955,4.1981,4.193,4.3359,3.9878,3.4567,3.4307,3.3976,3.3646,3.321,3.274,3.227,3.1939,3.1609,3.1034,3.0703,3.0757,3.081
CZE,0.73436,0.59704,0.58383,0.68,0.68153,0.66445,0.58065,0.71329,0.72412,0.65041,0.68374,0.83034,0.617,0.79927,0.63169,0.717,0.65571,0.68749,0.71385,0.85112,0.80766,0.75489,0.69127,0.70443,0.85568,0.68112,0.61672,0.65006,0.58712,0.56607,0.66542,0.48775,0.48867,0.48951,0.48677,0.48989,0.48911,0.48929,0.48948,0.48941,0.484
DEU,0.12271,0.055406,0.048931,0.096066,0.09682,0.088444,0.047374,0.11238,0.11769,0.081561,0.097901,0.16975,0.065184,0.15452,0.072389,0.1142,7.1882,14.3077,21.4247,28.5959,35.6786,35.4536,35.2227,35.0288,34.9022,34.6152,34.3818,34.1956,33.9534,33.7562,33.5472,33.3145,33.1114,32.9096,32.6957,32.4963,32.2759,32.0622,31.8518,31.6068,31.36
DJI,0,0.003,0.006,0.009,0.012,0.015,0.018,0.021,0.024,0.027,0.03,0.033,0.036,0.039,0.042,0.045,0.048,0.051,0.054,0.057,0.06,0.060667,0.061333,0.062,0.062667,0.063333,0.064,0.064667,0.065333,0.066,0.066667,0.067333,0.068,0.068667,0.069333,0.07,0.070667,0.071333,0.072,0.072667,0.073333
DMA,0,0.0002,0.0004,0.0006,0.0008,0.001,0.0012,0.0014,0.0016,0.0018,0.002,0.0022,0.0024,0.0026,0.0028,0.003,0.0032,0.0034,0.0036,0.0038,0.004,0.0039778,0.0039556,0.0039333,0.0039111,0.0038889,0.0038667,0.0038444,0.0038222,0.0038,0.0037778,0.0037556,0.0037333,0.0037111,0.0036889,0.0036667,0.0036444,0.0036222,0.0036,0.0035778,0.0035556
