cat,IPCMLULUCF
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,EDGAR42COMPI
tablename,KYOTOGHG_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
COD,1308.813,1095.4449,1729.9172,1005.1162,1162.9721,1174.1599,1003.4298,953.9401,1049.005,866.2139,992.7318,926.8885,998.9119999999999,875.1412,976.7639999999999,902.3261,1273.1424,2134.231,1017.2953,1023.3831,1055.8876
COG,54.8064,45.8626,72.4507,42.078,48.6915,49.1577,42.0033,39.926,39.12,30.9176,47.2652,61.2815,35.3678,38.2236,45.1924,40.7265,27.2157,48.5918,28.6885,27.666,29.3955
COK,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
COL,56.7161,53.3901,56.7991,62.482,43.262,47.9989,49.8351,50.3436,35.2755,29.329,44.7333,34.2994,33.2305,29.8267,37.5833,25.7446,32.2823,38.3433,39.8735,37.1745,27.9312
CRI,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
CUB,3.9694,4.3666,4.029,4.2955,4.1981,4.1930000000000005,4.3359,3.9878,3.4567,3.4307,3.3976,3.3646,3.321,3.2739999999999996,3.227,3.1939,3.1609,3.1034,3.0703,3.0757,3.0810000000000004
CZE,0.80766,0.75489,0.6912699999999999,0.70443,0.8556799999999999,0.68112,0.6167199999999999,0.6500600000000001,0.58712,0.56607,0.66542,0.48775,0.48867,0.48951000000000006,0.48677,0.48988999999999994,0.48911000000000004,0.48928999999999995,0.48948,0.48941,0.484
DEU,35.6786,35.4536,35.2227,35.0288,34.9022,34.6152,34.3818,34.1956,33.9534,33.7562,33.5472,33.3145,33.1114,32.9096,32.6957,32.4963,32.2759,32.0622,31.8518,31.6068,31.36
DJI,0.06,0.060667,0.061333000000000006,0.062,0.062667,0.063333,0.064,0.064667,0.065333,0.066,0.06666699999999999,0.067333,0.068,0.06866699999999999,0.069333,0.07,0.070667,0.07133300000000001,0.07200000000000001,0.072667,0.07333300000000001
DMA,0.004,0.0039778,0.0039556,0.0039333,0.0039111,0.0038889000000000003,0.0038667000000000003,0.0038444000000000004,0.0038222,0.0038,0.0037778,0.0037555999999999996,0.0037332999999999997,0.0037110999999999997,0.0036889,0.0036667,0.0036444000000000003,0.0036222000000000003,0.0036,0.0035778,0.0035556
DNK,3.0355,3.0202,3.0049,2.9897,2.9744,2.9591,2.9438,2.9286,2.9133,2.898,2.8827,2.8674,2.8522,2.8369,2.8216,2.8063,2.7911,2.7758,2.7605,2.7452,2.7299
DOM,0.56213,0.7395,0.5835199999999999,0.70301,0.65581,0.65255,0.71415,0.5546800000000001,0.3094,0.29567,0.27844,0.26121,0.24049,0.21629,0.19208,0.17485,0.15762,0.12993,0.1127,0.11292,0.11314
DZA,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.078558,0.028987,0.022991,0.052574,0.036183,0.035071,0.035139,0.006999999999999999,0.009804700000000001,0.0098255
ECU,0.9812200000000001,0.9466399999999999,0.9847100000000001,1.0424,0.8429,0.89302,0.9114200000000001,0.9177799999999999,0.66966,0.63034,0.8311,0.70985,1.8444,0.7338399999999999,1.6616,2.1862,0.92135,0.9708600000000001,0.7713,0.79397,0.75479
EGY,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175
ESP,2.0133,1.7051,1.3336,1.4108,2.2945,1.275,0.89891,1.0938,0.91864,0.5524399999999999,1.2084,0.65855,0.6340899999999999,0.78281,0.76832,0.91548,0.13989000000000001,0.23091,0.21048000000000003,0.37737,0.29289
EST,13.925999999999998,13.6644,13.405,13.1479,12.8929,12.6401,12.3895,12.1412,11.8951,11.6511,11.4094,11.1699,10.9326,10.6974,10.4645,10.2338,10.0054,9.7791,9.555,9.4001,9.2452
ETH,0.35,0.35972,0.36945,0.37917,0.38889,0.39860999999999996,0.40833,0.41805,0.42778,0.4375,0.44722,0.45695,0.46667,0.47639,0.48611000000000004,0.49583,0.50555,0.5152800000000001,0.525,0.53472,0.54445
FIN,52.9584,52.794,52.6177,52.5224,52.5732,52.2779,52.0991,52.0236,51.7425,51.6332,51.7294,51.512,51.326,51.2014,51.0617,50.9575,50.8461,50.7377,50.6273,50.6923,50.7573
FJI,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
FRA,3.3947,3.3538,3.3574,3.398,3.3239,3.2992,3.2911,3.3033,3.5295,3.2949,3.3436,3.3274,3.2889,3.3223,3.2788,3.2644,3.1931,3.1952,3.2014,3.0979,3.0904
FSM,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
GAB,4.5143,3.7846,5.9621,3.4825,4.025,4.0655,3.4821,3.3135,3.977,3.1924,2.3777,7.2275,4.1466,4.3763,5.7216,6.8109,3.4068,3.0909,25.6045,4.9495,12.7049
