iso3, Y1990, Y1991, Y1992, Y1993, Y1994, Y1995, Y1996, Y1997, Y1998, Y1999, Y2000, Y2001, Y2002, Y2003, Y2004, Y2005, Y2006, Y2007, Y2008, Y2009, Y2010, Y2011, Y2012, Y2013, Y2014, Y2015, Y2016, Y2017, Y2018, Y2019, Y2020, Y2021, Y2022, Y2023, Y2024, Y2025, Y2026, Y2027, Y2028, Y2029, Y2030
MUS, 2.3239, 2.3899, 2.5993, 2.668, 2.502, 2.8259, 2.9701, 3.0673, 3.3109, 3.6777, 4.1375, 4.5486, 4.4315, 4.6091, 4.6167, 4.7404, 5.9761, 6.1579999999999995, 6.3742, 6.4208, 6.7337, 6.8489, 6.9866, 7.2266, 7.6356, 7.9775, 8.2596, 8.5371, 8.815892307692309, 9.094684615384617, 9.373476923076923, 9.485596270545775, 9.588087386953172, 9.680950272299116, 9.764184926583606, 9.83779134980664, 9.90176954196822, 9.956119503068347, 10.00084123310702, 10.035934732084238, 10.0614
MWI, 5.3678, 5.5710000000000015, 5.6007, 5.7259, 5.3611, 5.5467, 5.6534, 5.754, 5.974, 6.0238, 6.1865, 6.1157, 6.5152, 6.8249, 7.1475, 7.3025, 7.6211, 7.9811, 8.6489, 8.6164, 9.6102, 9.9061, 10.0487, 10.497, 11.1851, 11.3896, 11.8403, 12.3563, 13.214721739130434, 14.073143478260867, 14.931565217391306, 15.360816547307829, 15.743404227650073, 16.07932825841805, 16.368588639611755, 16.611185371231194, 16.807118453276356, 16.956387885747244, 17.05899366864387, 17.114935801966205, 17.124214285714285
MYS, 97.44, 110.6156, 118.1385, 132.2487, 139.4417, 146.6984, 167.6684, 189.68, 183.4806, 199.4634, 214.5082, 223.9698, 232.4956, 247.5333, 264.0498, 293.0196, 292.1785, 306.5336, 317.8937, 309.1011, 338.1322, 322.9235, 326.284, 347.0796, 357.2161, 371.3211, 369.6279, 373.4748, 369.7534, 372.296, 375.7802, 411.38456283437137, 448.2205582355154, 486.6372975474815, 526.9983899756552, 569.6894393325537, 614.3226946724606, 660.3703057909881, 708.0459214091397, 757.5826415099956, 809.2373455512115
NAM, 10.9532, 11.2703, 11.1797, 11.1149, 11.2251, 11.1441, 10.7756, 10.7843, 10.8192, 10.8631, 11.0205, 11.2973, 10.3989, 10.8606, 10.7465, 11.149000000000001, 12.3386, 12.9169, 11.4882, 13.868, 12.9359, 14.199000000000002, 15.1624, 10.9824, 12.4885, 12.5989, 12.2359, 14.8002, 14.570333333333336, 14.340466666666664, 14.1106, 13.158567903377929, 12.147174675109286, 11.076420315194067, 9.94630482363227, 8.756828200423897, 7.507990445568948, 6.199791559067426, 4.832231540919326, 3.40531039112465, 1.919028109683401
NER, 5.7875, 6.65, 7.53, 8.5692, 9.4523, 10.4123, 11.6184, 12.6053, 13.8288, 14.9067, 15.2551, 14.8565, 15.7955, 16.2624, 16.9895, 17.1578, 17.4331, 18.0227, 18.7167, 19.8378, 20.9456, 20.9961, 22.995, 24.1694, 25.5462, 25.3342, 26.6553, 27.8743, 28.39353333333333, 28.91276666666667, 29.432, 28.14273422595247, 26.661751957248832, 24.989053193889095, 23.124637935873253, 21.068506183201315, 18.820657935873257, 16.3810931938891, 13.749811957248845, 10.926814225952487, 7.912100000000017
NGA, 302.558, 313.0581, 323.5403, 328.5995, 310.7778, 319.3617, 344.6423, 313.3165, 279.5373, 262.0245, 299.2178, 313.361, 298.3786, 326.3381, 325.7809, 328.3315, 313.3898, 304.1769, 302.6741, 275.86, 302.2185, 313.0458, 320.018, 307.9276, 305.0855, 321.0983, 333.8373, 335.4237, 356.48607692307684, 377.5484538461538, 398.61083076923074, 391.77465283094807, 382.13815375074535, 369.70133352862257, 354.4641921645796, 336.4267296586165, 315.5889460107334, 291.9508412209303, 265.51241528920684, 236.27366821556342, 204.23460000000003
NIC, 10.1605, 8.7529, 9.7458, 10.3582, 10.5827, 10.0621, 9.9877, 10.7336, 10.8827, 12.1537, 12.5231, 12.7598, 13.1455, 13.9304, 13.692, 13.9408, 14.2372, 14.4204, 14.2464, 14.4872, 14.7358, 15.9021, 16.1228, 16.3579, 17.2393, 18.5197, 18.7249, 18.4173, 17.668, 18.1662, 18.7286, 19.3759, 20.1023, 20.8901, 21.7226, 22.5841, 23.4773, 24.4095, 25.3725, 26.3579, 27.3579
NIU, 0.0058255, 0.0058371000000000004, 0.0058415, 0.0058376999999999995, 0.005871, 0.005935899999999999, 0.0060054999999999996, 0.0060745, 0.0061431, 0.006210800000000001, 0.0062789, 0.006461, 0.006603699999999999, 0.0067439, 0.0068869, 0.0070977, 0.0082697, 0.0097322, 0.0064375, 0.0066728, 0.006655599999999999, 0.011729, 0.011772, 0.011771, 0.016831, 0.017536000000000003, 0.019705, 0.020276, 0.01631516666666667, 0.01631516666666667, 0.01631516666666667, 0.01600516666666667, 0.01569516666666667, 0.015385166666666669, 0.015075166666666667, 0.01476516666666667, 0.01445516666666667, 0.014145166666666669, 0.01383516666666667, 0.013525166666666668, 0.013215166666666668
NLD, 222.19400000000002, 229.8878, 230.59099999999998, 231.2848, 232.1859, 232.3614, 243.50799999999998, 235.1521, 235.5974, 222.3209, 220.5787, 221.2765, 219.1521, 219.8704, 221.2945, 215.5717, 210.4591, 209.0034, 208.4679, 202.6217, 214.6019, 200.5922, 196.53900000000002, 196.2416, 188.5718, 196.8529, 196.679, 194.55700000000002, 191.7723, 194.50900000000001, 197.0696, 191.42670807518255, 185.55065225095626, 179.46197189822823, 173.178374163764, 166.71511246918726, 160.06510736219735, 153.21994490749915, 146.1890875193806, 138.98007974222278, 131.5983875
NOR, 52.2056, 49.8422, 48.2301, 50.037, 51.9385, 52.2251, 55.222, 55.1926, 55.4668, 56.3594, 55.7763, 57.0945, 56.0499, 56.7107, 57.2595, 56.3183, 56.2767, 57.9662, 56.4632, 54.0041, 56.3494, 55.5737, 55.085, 54.9713, 55.0715, 55.3951, 54.5829, 53.6864, 57.9957, 59.2481, 60.3865, 57.30418635366999, 54.0290805633771, 50.60478720660262, 47.064730583030446, 43.43245317202739, 39.69805409548086, 35.834956010399075, 31.83514246323809, 27.691962964863652, 23.4
