add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,BDI,ABU,ABS,RBU,conditional,best,,-9.897 MtCO2eq_SAR,,,2025,2025,9.227121457,53.34181564,AR4,SSP5BLREMMP,11.117,11.117,2.967616286,2.967616286,,0.774290457,0.774290457,12850297.39,12850297.39,16294640992,16294640992,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,53.15016796,53.15016796
,BDI,ABU,ABS,RBU,conditional,best,,-14.897 MtCO2eq_SAR,,,2030,2030,12.93296,65.77951843,AR4,SSP5BLREMMP,16.1662,16.1662,2.967616286,2.967616286,,0.787299688,0.787299688,14006749.94,14006749.94,27491829416,27491829416,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,66.05819804,66.05819804
,BDI,RBU,ABS,RBU,unconditional,best,,-2%,,,2025,2025,10.89466,62.9818246,AR4,SSP5BLREMMP,11.117,11.117,2.967616286,2.967616286,Yes (not lulucf),1,1,12850297.39,12850297.39,16294640992,16294640992,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,53.15016796,53.15016796
,BDI,RBU,ABS,RBU,unconditional,best,,-3%,,,2030,2030,15.681214,79.7576661,AR4,SSP5BLREMMP,16.1662,16.1662,2.967616286,2.967616286,Yes (not lulucf),1,1,14006749.94,14006749.94,27491829416,27491829416,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,66.05819804,66.05819804
,BDI,RBU,ABS,RBU,conditional,best,,-17%,,,2025,2025,9.22711,53.3417494,AR4,SSP5BLREMMP,11.117,11.117,2.967616286,2.967616286,Yes (not lulucf),1,1,12850297.39,12850297.39,16294640992,16294640992,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,53.15016796,53.15016796
,BDI,RBU,ABS,RBU,conditional,best,,-20%,,,2030,2030,12.93296,65.77951843,AR4,SSP5BLREMMP,16.1662,16.1662,2.967616286,2.967616286,Yes (not lulucf),1,1,14006749.94,14006749.94,27491829416,27491829416,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,66.05819804,66.05819804
,BEL,RBY,RBY,RBY,unconditional,best,,-40%,,,1990,2030,86.4457575,86.17224,AR4,SSP5BLREMMP,149.1429,137.7028,-3.3135,-0.2735175,Yes (not lulucf),1,1,10006544,12760553.36,2.52E+11,6.94E+11,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,-3.3135,-0.2735175
,BEN,ABS,ABS,NGT,unconditional,best,37 MtCO2eq,,,,2030,2030,37,47.5974088,AR4,SSP5BLREMMP,29.5876,29.5876,10.5974088,10.5974088,,0.835314701,0.835314701,14361250.22,14361250.22,54320413820,54320413820,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,10.5974088,10.5974088
,BEN,ABS,ABS,NGT,conditional,best,32.5 MtCO2eq,,,,2030,2030,32.5,43.0974088,AR4,SSP5BLREMMP,29.5876,29.5876,10.5974088,10.5974088,,0.835314701,0.835314701,14361250.22,14361250.22,54320413820,54320413820,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,10.5974088,10.5974088
,BFA,ABS,ABS,RBU,unconditional,best,,98.708 MtCO2eq,,,2025,2025,41.6293,98.708,AR4,SSP5BLREMMP,48.2373,48.2373,9.12807,9.12807,,1,1,22370571.08,22370571.08,54645307065,54645307065,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,57.0787,57.0787
