2017_MtCO2eq_AR4,CO2_IPCM0EL,CH4_IPCM0EL,N2O_IPCM0EL,HFCSAR4_IPCM0EL,PFCSAR4_IPCM0EL,SF6_IPCM0EL,NF3_IPCM0EL,FGASESAR4_IPCM0EL,KYOTOGHGAR4_IPCM0EL,KYOTOGHGAR4_IPC1,KYOTOGHGAR4_IPC2,KYOTOGHGAR4_IPCMAG,KYOTOGHGAR4_IPC4,KYOTOGHGAR4_IPC5,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,HFCSAR4_IPC2,PFCSAR4_IPC2,SF6_IPC2,NF3_IPC2,FGASESAR4_IPC2
GBR,1.1117769835306532,0.6435128930785485,0.6536816247877297,1.6276576358452837,0.7199962286357059,0.9548102230500795,0.013509248332348994,1.535859717444787,1.0113696622439674,1.0846945684174885,0.8002000738032419,0.6829155832594538,1.2597755467718943,0.6366173851195548,1.1656858983625058,0.5978864569793425,0.7767807432326536,0.9699101895362463,,0.234888923489374,0.5135791261461022,0.7216037410615637,1.279677921265767,,0.8693758438357186,0.47316444019680837,0.6167083678365068,1.1001403206042155,0.6366759956507787,1.6276576358452837,0.7199962286357059,0.9548102230500795,0.013509248332348994,1.535859717444787
GEO,0.027467398873848543,0.06548094254143258,0.06589611545921618,0.06640198183098316,,,,0.058930838225981504,0.03705806415326122,0.026890202903470807,0.09933305025716666,0.03888676237111132,0.08326076473363318,0.01448720252797718,0.021446783339457428,0.08814329390490677,0.0073833823898881165,,,0.08628860174961969,0.05433604193731632,0.039623351331609144,0.08639815399721494,,0.017805705543539146,0.5075837527973859,0.03998655267448551,0.06553922441553461,0.014488536300280545,0.06640198183098316,,,,0.058930838225981504
GHA,0.037464406196129965,0.17991228491774952,0.16149320108420673,0.0025887151100512642,0.0,,,0.002297448768199307,0.06894276118637904,0.05480378883299831,0.01570425409970121,0.1414495913984306,0.2407349942913505,0.14333986776707736,0.03937629920293086,0.02073972536259564,0.0013095272587378638,,,0.2149501121786818,,0.12170168689578507,0.2524006221879791,,0.11362694545238865,4.8941623065478054e-05,0.181778508934042,0.16111722933112355,0.14335306443118323,0.0025887151100512642,0.0,,,0.002297448768199307
GIN,0.010197330646957095,0.2135525842747204,0.2125822116506513,,,,,,0.05761407145726213,0.01697513593124133,0.005237909451507686,0.31276403221074567,0.12610741147508256,0.07549735836776958,0.010567089469492065,0.007149017297709319,3.8708877501594475e-05,,,0.07972506033077618,,0.3595532764957139,0.1312821574013132,,0.08030675167635029,2.1805283752647916e-05,0.2629031212879197,0.09458289941670281,0.07550430907377191,,,,,
GMB,0.0017830748137024476,0.0191177810083084,0.013358849212395744,,,,,,0.005435487745394269,0.0024322261705860783,0.0002482029185828556,0.0215694231622678,0.024264321859841845,0.005614704038574014,0.0019400815616599264,0.000338605247267452,0.0,,,0.00743085455676529,,0.02641278051414925,0.025179837941653863,,0.005443370595385815,3.5122279699299953e-06,0.015644020650863597,0.019071259494566385,0.005615220959402847,,,,,
GNB,0.0010811824558514952,0.02007652271840457,0.025936533667970132,,,,,,0.005896349949598355,0.0014885339666137456,0.00021043447846804373,0.031781327917824446,0.020261318409296084,0.0050094424351096005,0.0011678987756205469,0.00028707541634917684,4.1705576651311284e-05,,,0.004701132348897774,,0.0323575373820062,0.021483826685914607,,0.003906899083362952,3.240140855943055e-06,0.03314486779846199,0.010941004500706359,0.005009903632194569,,,,,
GNQ,0.020369585659742413,0.0717691967072639,0.0010754109797013647,,,,,,0.027386463661118556,0.03245214102599801,0.027272319237178263,0.0003871253705257133,0.021252009942518267,0.0030663341476924524,0.01904827771985792,0.03461496530132256,,,,0.1791239755225314,0.5588437940694968,0.00036900413000668573,0.023521301949743043,,0.005879199975203195,1.5114058696376075e-06,0.0004424120802756292,0.0007307212148223206,0.00306661645143958,,,,,
GRC,0.21101653303209067,0.12297567826357768,0.15177925184574134,0.7086540238133956,0.2438106054327011,0.009106506364032381,,0.6422332641746531,0.20114221773003624,0.1986537908602025,0.2891587687127322,0.1290302847296738,0.28227697649058725,0.2211473395939095,0.21373686322460525,0.19547401319835023,0.020668143226531675,0.013155654874718592,,0.03913306145889935,0.004705338955994257,0.12397312470511627,0.2909306260147447,,0.17156112229811338,0.08509041565912732,0.1444961100046857,0.24096873720251014,0.22116769964588942,0.7086540238133956,0.2438106054327011,0.009106506364032381,,0.6422332641746531
GRD,0.0007202623729970194,0.0006342702757129124,0.0009104055898915069,,0.0007330986985675373,0.0046856410786097055,,0.0003009186651334811,0.0007094885490677378,0.0008064767813638461,0.0001027866417172262,0.0002601874332536,0.001434582305738539,0.0055084031878870725,0.0007925551087448743,4.9257271146691186e-05,,,,0.000638779815346415,,0.00027898272971049276,0.001494306418170816,,0.004077080079291644,1.8639004996101273e-07,0.00024971055780025905,0.0010669210326695274,0.005508910322069367,,0.0007330986985675373,0.0046856410786097055,,0.0003009186651334811
GTM,0.04763525246542249,0.11437180860906647,0.2171098181597475,0.15397195351769052,,,,0.1366479739593492,0.07183133467393142,0.047815342531135105,0.08028528651533594,0.19099697090209308,0.11651142087021045,0.1464101213874767,0.044961685012984205,0.06825377687962055,0.16877167453698014,,,0.07123303842351415,,0.15130562850402537,0.1129171362587348,,0.12268942938192468,2.940169202990897e-05,0.2536704719788317,0.17860339109541393,0.14642360071617813,0.15397195351769052,,,,0.1366479739593492
GUY,0.006111411020449986,0.019802419331688848,0.009257011235915054,,,,,,0.008507482711304745,0.0063523351927209145,7.140204473237417e-05,0.026710713694278295,0.008544943095164403,0.024648732450347238,0.00675593641941043,7.648795686500765e-05,0.0006209523874473797,0.00048793326710863276,,0.001562807049023254,,0.03958154572775642,0.008780564272148034,,0.010993623157726845,0.00036258947165515695,0.008745275256340598,0.007567515836828944,0.024651001749516063,,,,,
HKG,0.14075122509838442,0.02646399982965332,0.014469703414095212,,,0.15124204109808123,,0.008470525571850763,0.11043819803804245,0.13941449296710565,0.024236046144271568,0.0015620779078683283,0.12237021818360441,0.11889067210908101,0.15272752835977932,0.030501570527769792,,0.04353001584493138,,0.0037446060266421947,,0.0007828238673434886,0.1349294478935202,,0.06259340045377244,0.0003433416897014944,0.002872375018088988,0.0011399150777765693,0.1189016178444831,,,0.15124204109808123,,0.008470525571850763
HND,0.02962672089960709,0.08196187377527209,0.09580273985961239,,,,,,0.04219344581850438,0.03012454621542038,0.016294364828604916,0.11491967756301455,0.09098511041112556,0.152853496973808,0.030552244449451087,0.022242755748110764,0.0,,,0.023120301034716198,,0.1263281737221529,0.09380100334503395,,0.05494563252697697,1.4620757787583011e-05,0.10549760525579636,0.07818686062676584,0.1528675695154421,,,,,
HRV,0.055916128464779155,0.051337951958991906,0.05838973589551945,0.05604620393537207,0.0,0.011614516468201344,,0.05039059430006985,0.05518908841100611,0.04914163560916431,0.08709321533732138,0.0471049377739414,0.1276864213649567,0.0697666141826915,0.05166427277722403,0.09869006520256975,0.049114385579439424,0.0,,0.019591014046954815,0.0,0.04325207774602535,0.13555199098309914,,0.07421897621223449,0.08563852778000851,0.0528946716225585,0.0671832477119919,0.0697730372845648,0.05604620393537207,0.0,0.011614516468201344,,0.05039059430006985
HTI,0.008386531761316412,0.14287608025386625,0.05512818826831389,,,,,,0.03402258559150899,0.022349949245961204,0.0032462857414576702,0.07300369573842008,0.22225631098552623,0.0509228583550529,0.008834974068865572,0.0044305677498036565,0.0004908653746612892,,,0.16400133461422003,,0.08608609945352348,0.239604654988047,,0.05989195009157107,1.9489377005002374e-05,0.058000086435669417,0.0771409318270484,0.05092754659613677,,,,,
