Row,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
KYOTOGHG_IPC1B2_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,12.621,NaN,NaN,NaN,NaN,NaN,16.09692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.71674,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC1B_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,26.271,NaN,NaN,NaN,NaN,NaN,28.39557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.92874,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,743.82,NaN,NaN,NaN,NaN,NaN,1027.01649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1510.11938,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC2A_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,38.692,NaN,NaN,NaN,NaN,NaN,53.55817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104.54523,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC2B_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,17.529,NaN,NaN,NaN,NaN,NaN,25.06612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.488201,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC2C_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,46.489,NaN,NaN,NaN,NaN,NaN,9.21795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.87547138,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,102.71,NaN,NaN,NaN,NaN,NaN,88.596129970125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.51217237999,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC3A1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,188.412,NaN,NaN,NaN,NaN,NaN,211.42947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,227.03352,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC3A2_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,20.176,NaN,NaN,NaN,NaN,NaN,5.087744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7674,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC3A_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,208.588,NaN,NaN,NaN,NaN,NaN,216.517214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,229.80092,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC3C1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,4.747,NaN,NaN,NaN,NaN,NaN,6.91196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.91609,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC3C7_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,85.89,NaN,NaN,NaN,NaN,NaN,74.36058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.36787,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC3C_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,135.897,NaN,NaN,NaN,NaN,NaN,139.08444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160.36446,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC3_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,358.77714,NaN,NaN,NaN,NaN,NaN,133.039434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137.63343,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC4A_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,12.222,NaN,NaN,NaN,NaN,NaN,10.25199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.96374,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC4D_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,11.011,NaN,NaN,NaN,NaN,NaN,42.3003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.08906,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC4_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,23.233,NaN,NaN,NaN,NaN,NaN,52.55229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.0528,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,1214.248,NaN,NaN,NaN,NaN,NaN,1523.76656397012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2100.84973237999,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPCM3C1AGRES_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,4.747,NaN,NaN,NaN,NaN,NaN,6.91196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.91609,NaN,NaN,NaN,NaN,NaN,NaN
