2017_MtCO2eq_AR4,CO2_IPCM0EL,CH4_IPCM0EL,N2O_IPCM0EL,HFCS_IPCM0EL,PFCS_IPCM0EL,SF6_IPCM0EL,NF3_IPCM0EL,FGASES_IPCM0EL,KYOTOGHG_IPCM0EL,KYOTOGHG_IPC1,KYOTOGHG_IPC2,KYOTOGHG_IPCMAG,KYOTOGHG_IPC4,KYOTOGHG_IPC5,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2,FGASES_IPC2
SLB,0.0005405896866162586,0.00034625525988903495,8.12406046764315e-05,,,,,,0.0009681044389769793,0.0006101807189086425,2.9597175163434513e-05,0.00015615589658660108,0.00016151373450706114,1.0646840320437918e-05,0.0005187008305604818,2.189725063144549e-05,,,,7.682295923085045e-05,,0.00012148839771935476,0.00014795019887058118,,1.4661126405144545e-05,7.701603447122737e-06,3.466959751116345e-05,1.3562696178913132e-05,1.0646840320437918e-05,,,,,
SLE,0.0027907766810136296,0.009850824682666473,0.0027918260029721996,3.0153315801476787e-05,,,,3.0153315801476787e-05,0.015463647839059127,0.005182181424595394,0.0005345455921348935,0.007252073920071212,0.0023622335931335094,0.00013268046572946585,0.0022864725477247322,0.0005043461061672397,0.0,,,0.0026661172323354746,,0.00498113133733332,0.002203576112997677,,0.00022954967165684368,4.789735012090094e-08,0.002270942582737892,0.00015863859234057845,0.00013268046572946585,3.0153315801476787e-05,,,,3.0153315801476787e-05
SLV,0.017985798098678753,0.0056585735937863205,0.0027112380765539987,0.00042887887090686214,,,,0.00042887887090686214,0.02678457258568262,0.016497859561426038,0.0014226287385513002,0.006467390959452325,0.002213439739408238,0.00018340259056283807,0.016051058271466793,0.0009937288812052669,0.0009410109460066936,,,0.00032247762430783145,,0.003303475389971089,0.0020326205795074,,0.00012437823039325744,4.27011077820607e-08,0.0022226737726436566,0.00018071842499281518,0.00018340259056283807,0.00042887887090686214,,,,0.00042887887090686214
SMR,0.00039788190025069484,4.5267749292723705e-05,1.2063424964507853e-05,2.1687386239731425e-05,7.044308172274288e-07,5.571270006833268e-07,,2.294867123393295e-05,0.00047815503008132455,0.0003792039693881431,5.153849731713996e-05,2.725298990798841e-05,1.8880450000555813e-05,1.2834886468448755e-06,0.00036799721087061205,2.8216267465955968e-05,5.431710186343417e-07,1.1196475162337053e-06,,7.440112415047013e-06,1.884980979936556e-08,2.1601341839128654e-05,1.620698751451034e-05,,3.7645474585668884e-06,3.5420912033499796e-07,5.107469701145187e-06,1.5536051054200477e-06,1.2834886468448755e-06,2.1687386239731425e-05,7.044308172274288e-07,5.571270006833268e-07,,2.294867123393295e-05
SOM,0.0014877076864218313,0.04327949404562465,0.01417717911785191,6.759102463934875e-06,,,,6.759102463934875e-06,0.05895111749687242,0.007712096666708441,8.880411735380637e-05,0.04668328461483507,0.004215336171968699,0.00025160641922599195,0.0014056087363832897,8.196883411567929e-05,1.3418729206197283e-07,,,0.005785121821989901,,0.033561723387304905,0.0039328587007215685,,0.0005214500540919359,7.640742773525659e-08,0.013121351363138453,0.00028249845768630217,0.00025160641922599195,6.759102463934875e-06,,,,6.759102463934875e-06
SRB,0.10972927612283231,0.018696818657806,0.008167292532336248,0.02361436108444996,0.0,,,0.02361436108444996,0.16020774839742455,0.10971143764953661,0.027783107361458136,0.013253775794310026,0.008951136035388278,0.0005082495838531213,0.1057869735244836,0.003927402226537003,0.0,1.4803834191510107e-05,,0.0030317010027013755,7.658791111213068e-05,0.00693496882419126,0.008653548327937735,,0.0008926372037166017,0.00016470157461719777,0.006318806970118767,0.000282855227152216,0.0005082495838531213,0.02361436108444996,0.0,,,0.02361436108444996
SSD,0.004549230419185776,0.06647622499056363,0.05054311050724015,,,,,,0.12156856591698956,0.008620599618438626,0.0005702225387262845,0.1076742839991682,0.004511874557460672,0.00019158100590793513,0.003919847108435296,0.0005701385929695989,5.9162870668111915e-05,,,0.004462766289799581,,0.05786758764245271,0.004146080922703058,,0.00023802819308209192,8.437807733255676e-08,0.04974772446264383,0.00036575166187927154,0.00019158100590793513,,,,,
STP,0.0002932645009812337,0.00014529121702756397,3.747758307229764e-05,,,,,,0.00047603539972501245,0.0003449541006604078,9.494684809927704e-06,3.635900586446167e-05,8.259632864690435e-05,2.633168522836367e-06,0.000283778630475758,9.49342562357742e-06,,,,5.8088364982535904e-05,,9.571285312903339e-06,7.763303578286673e-05,,3.090672896773027e-06,1.332890724654366e-09,2.678918960230033e-05,4.963292864037624e-06,2.633168522836367e-06,,,,,
SUR,0.005207994744776223,0.0014016213129407222,0.000649656210990058,,0.0,,,0.0,0.00725920930938949,0.005219117557537069,0.00012917992767567523,0.0015418946723624032,0.0002687103671506882,0.00010028999551231711,0.00507871827948036,0.00012815998673194488,5.176515086019114e-07,4.5028503886169677e-07,,0.00011078951102977178,,0.0010364782577974218,0.0002543556427574461,,2.9544709065505998e-05,1.020444618270467e-06,0.0005049127400248677,1.3892812867079352e-05,0.00010028999551231711,,0.0,,,0.0
SVK,0.07563932406158311,0.009703919608466626,0.0045122942862441005,0.001551023773401965,1.8095767039936923e-05,1.486448500071547e-05,,0.0015839724829010728,0.0914395943849516,0.06180023647878257,0.020262197155601208,0.0056466113234586186,0.0035271908315382817,0.00020306898271036305,0.05717734365810515,0.018306051160434416,0.00014948640621792814,6.274945312250528e-06,,0.004130131228932789,4.209879697784133e-06,0.002327186239717261,0.00324261471637401,,0.0004928245510621376,0.0003679342515530978,0.0031700016368409432,0.0002784270884870494,0.00020306898271036305,0.001551023773401965,1.8095767039936923e-05,1.486448500071547e-05,,0.0015839724829010728
