iso3,type_calc,type_orig,bl,bl_global_share,diff,tar_calc,tar_calc_ndc,tar_orig,tar_orig_ndc,refyr_emi_ssp,refyr_emi_ndc,diff_emi_refyr
EST,23,23,20,0.0,0.0,RBY,RBY,RBY,RBY,40.3
HRV,10,10,18,0.0,0.0,RBY,RBY,RBY,RBY,25.9
SLE,15,15,17,0.0,0.0,ABS,ABS,ABS,NGT,,
MDA,-1,7,16,0.0,8.15943,ABS,ABS,RBY,RBY,43.7,
MKD,10,10,16,0.0,0.0,RBU,RBU,RBU,RBU,,
BRN,16,16,16,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
GEO,24,31,15,0.0,6.634599999999995,ABS,ABS,RBU,RBU,47.0
SLV,6,6,15,0.0,0.0,RBU,RBU,RBU,RBU,,
LTU,22,22,15,0.0,0.0,RBY,RBY,RBY,RBY,43.6
ISL,8,8,14,0.0,0.0,RBY,RBY,RBY,RBY,13.0
LVA,2,2,13,0.0,0.0,RBY,RBY,RBY,RBY,17.0
MRT,15,10,13,0.0,-4.682334063333334,ABS,ABS,RBU,RBU,,
TJK,17,16,13,0.0,-0.49321000000000126,ABS,ABS,RBY,RBY,26.8,
SVN,6,6,13,0.0,0.0,RBY,RBY,RBY,RBY,16.0
ALB,6,11,12,0.0,4.7220395,ABS,ABS,RBU,RBU,,
BDI,60,10,12,0.0,-49.72262697142857,ABS,ABS,RBU,RBU,,
LBR,11,11,12,0.0,-0.35779000000000316,ABU,ABU,RBU,RBU,,
RWA,11,11,12,0.0,0.0,ABU,ABU,ABU,ABU,,
TLS,12,12,12,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
LUX,8,8,12,0.0,0.0,RBY,RBY,RBY,RBY,13.0
ARM,15,15,11,0.0,0.0,AEI,AEI,AEI,AEI,,
MUS,5,7,11,0.0,2.266335857142857,ABS,ABS,RBU,RBU,,
JAM,9,9,10,0.0,0.0,RBU,RBU,RBU,RBU,,
SUR,9,9,9,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
CYP,3,3,8,0.0,0.0,RBY,RBY,RBY,RBY,5.6
ANT,7,7,7,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
ERI,9,4,7,0.0,-4.611084999999999,ABS,ABS,RBU,RBU,,
BLZ,5,6,6,0.0,0.7549000000000001,ABU,ABU,baseline_emissions,NGT,,
LSO,4,4,6,0.0,-0.21543914357142802,ABS,ABS,RBU,RBU,,
BHS,3,3,5,0.0,0.0,RBU,RBU,RBU,RBU,,
GNB,5,5,5,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
MAC,3,3,3,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
SWZ,2,3,3,0.0,0.9699999999999993,ABU,ABU,baseline_emissions,NGT,2.7,
GMB,2,3,3,0.0,1.1328468160000003,ABS,ABS,RBU,RBU,,
MLT,1,1,3,0.0,0.0,RBY,RBY,RBY,RBY,2.2
DJI,3,3,3,0.0,0.0,ABS,ABS,RBU,RBU,,
MNE,1,2,3,0.0,0.7677800000000006,ABS,ABS,RBY,RBY,4.7
SLB,1,1,2,0.0,0.0,RBU,RBU,RBU,RBU,,
MDV,3,1,2,0.0,-1.2919239999999996,ABS,ABS,RBU,RBU,,
BRB,1,1,1,0.0,-0.3701784800000001,ABS,ABS,RBU,RBU,1.8,
NER,63,-23,1,0.0,-86.27635860000001,ABS,ABS,RBU,RBU,,
ABW,1,1,1,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
COM,0,0,1,0.0,0.09376056228571432,ABS,ABS,RBU,RBU,,
CPV,1,1,1,0.0,0.0006999999999999229,ABU,ABU,baseline_emissions,NGT,,
VUT,1,1,1,0.0,0.0,RBU,RBU,RBU,RBU,,
BTN,0,0,1,0.0,0.0,ABS,ABS,ABS,ABS,,
ATG,1,1,1,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
LCA,1,0,1,0.0,-0.05141373333333338,ABS,ABS,RBU,RBU,,
