add_info,iso3,tar_type_used,tar_type_reclass,tar_type_main,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq
,SLB,RBU,RBU,RBU,unconditional,best,,-30%,,,2030,2030,0.39546499999999996,1.745355,AR4,SSP2BLMESGB,0.56495,0.56495,1.9284142857142856,1.9284142857142856,Yes (not lulucf),1.0,1.0,785633.9976,785633.9976,2619690127.8867,2619690127.8867,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,
,SLB,RBU,RBU,RBU,conditional,best,,-27%,,,2025,2025,0.35754669999999994,1.7652891285714283,AR4,SSP2BLMESGB,0.48978999999999995,0.48978999999999995,1.9284142857142856,1.9284142857142856,Yes (not lulucf),1.0,1.0,727624.2698,727624.2698,2006789790.0877,2006789790.0877,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,
,SLB,RBU,RBU,RBU,conditional,best,,-45%,,,2030,2030,0.31072249999999996,1.3713503571428571,AR4,SSP2BLMESGB,0.56495,0.56495,1.9284142857142856,1.9284142857142856,Yes (not lulucf),1.0,1.0,785633.9976,785633.9976,2619690127.8867,2619690127.8867,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,
,SLB,RBU,RBU,RBU,conditional,best,,-50%,,,2050,2050,0.53375,1.4979571428571428,AR4,SSP2BLMESGB,1.0675,1.0675,1.9284142857142856,1.9284142857142856,Yes (not lulucf),1.0,1.0,977409.4265,977409.4265,6573621140.0341,6573621140.0341,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,
,SLE,ABS,ABS,NGT,conditional,best,7.58 MtCO2eq,,,,2035,2035,7.58,14.903152857142857,AR4,SSP2BLMESGB,8.561114747908253,8.561114747908253,7.3231528571428575,7.3231528571428575,,0.9896083867295792,0.9896083867295792,10267280.2773,10267280.2773,30150699888.8665,30150699888.8665,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,SLV,RBU,RBU,RBU,unconditional,best,-46%,,,,2025,2025,7.0014780000000005,7.767032685714287,AR4,SSP2BLMESGB,12.9657,12.9657,0.7655546857142859,0.7655546857142859,Yes (not lulucf),1.0,1.0,6450622.3574,6450622.3574,54920606148.3422,54920606148.3422,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,
,SLV,RBU,RBU,RBU,conditional,best,-61%,,,,2025,2025,5.056623,5.822177685714286,AR4,SSP2BLMESGB,12.9657,12.9657,0.7655546857142859,0.7655546857142859,Yes (not lulucf),1.0,1.0,6450622.3574,6450622.3574,54920606148.3422,54920606148.3422,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,
,SMR,ABS,ABS,RBY,unconditional,best,,0.1704 MtCO2eq_SAR,,,2030,2030,0.17372667513444856,0.17372667513444856,AR4,SSP2BLMESGB,0.22833666666666666,0.22833666666666666,,,,1.0,1.0,33008.833333333336,33008.833333333336,1887980645.7685835,1887980645.7685835,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,
,SMR,RBY,ABS,RBY,unconditional,best,,-20%,,,2005,2030,0.1602143439180607,0.1602143439180607,AR4,SSP2BLMESGB,0.28472,0.22833666666666666,-0.06756165608193929,,Yes (not lulucf),1.0,1.0,29324.0,33008.833333333336,2444465401.7497,1887980645.7685835,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,
,SRB,RBY,RBY,RBY,unconditional,best,,-9.8%,,,1990,2030,76.63428341428572,66.2665243,AR4,SSP2BLMESGB,78.6808,75.2626,-4.7035573,-10.367759114285713,Yes (not lulucf),1.0,1.0,9517675.0,8797640.5176,83946046875.0,143222898108.5258,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,
